Benchmark,Category,Base_Nodes,Base_Lev,Base_Time(s),Trad_Nodes,Trad_Lev,Trad_Time(s),Orch_Nodes,Orch_Lev,Orch_Time(s),PureSyn4_Nodes,PureSyn4_Lev,PureSyn4_Time(s),DchSyn4_Nodes,DchSyn4_Lev,DchSyn4_Time(s),DeepSyn_Nodes,DeepSyn_Lev,DeepSyn_Time(s)
isqrt16.aig,arithmatic,4598,32,0.05,3741,24,0.13,3803,30,0.14,3574,20,0.13,3696,19,0.52,2020,18,300.15
isqrt8.aig,arithmatic,106,14,0.04,59,9,0.07,66,13,0.07,59,8,0.07,49,8,0.07,35,7,4.62
smul8.aig,arithmatic,88987,65,0.09,70796,32,1.44,71707,39,2.34,72678,25,1.54,74894,24,16.51,61477,23,301.19
square12.aig,arithmatic,11077,38,0.05,9146,23,0.22,9207,32,0.76,9465,20,0.37,9541,18,1.3,6599,16,303.42
udiv5.aig,arithmatic,421,20,0.04,325,16,0.07,330,18,0.07,286,13,0.07,298,13,0.09,123,14,26.93
udiv8.aig,arithmatic,6217,32,0.04,4952,28,0.14,5059,32,0.16,4935,24,0.15,5018,22,0.78,2706,20,302
umul5.aig,arithmatic,1872,23,0.05,1464,18,0.09,1450,23,0.11,1546,15,0.09,1529,16,0.2,760,16,218.11
umul7.aig,arithmatic,30474,46,0.06,24428,28,0.49,24693,37,0.64,25348,22,0.56,25725,22,3.73,18233,20,305.45
umul8.aig,arithmatic,120875,69,0.12,96882,33,2.08,98207,43,3.51,99145,26,2.48,102178,24,22.15,86380,24,334.4
usquare14.aig,arithmatic,43122,67,0.07,35553,28,0.7,35975,45,1,36576,22,0.76,37856,21,6.36,28612,20,312.2
arbiter.aig,random_control,11839,87,0.06,11839,87,0.24,11839,87,0.25,4799,24,0.11,5060,48,3.52,2298,29,300.71
cavlc.aig,random_control,693,16,0.04,681,16,0.08,674,16,0.08,670,15,0.08,661,13,0.12,419,18,123.14
ctrl.aig,random_control,174,10,0.1,119,9,0.07,103,10,0.07,94,5,0.07,100,6,0.08,70,9,7.54
dec.aig,random_control,304,3,0.04,304,3,0.08,304,3,0.08,304,3,0.04,304,3,0.06,304,3,16.2
i2c.aig,random_control,1342,20,0.04,1227,16,0.08,1200,18,0.09,1051,12,0.08,1027,13,0.15,693,17,91.88
int2float.aig,random_control,260,16,0.04,219,15,0.07,216,16,0.07,214,13,0.07,207,10,0.08,141,11,23.54
mem_ctrl.aig,random_control,46836,114,0.07,46304,114,0.63,45809,114,0.88,39711,76,0.55,37250,77,9.05,9296,52,300.48
priority.aig,random_control,978,250,0.04,729,223,0.09,771,226,0.08,820,124,0.05,675,101,0.11,385,67,59.51
router.aig,random_control,257,54,0.05,236,26,0.08,245,42,0.07,190,20,0.07,168,19,0.09,113,14,6.47
voter.aig,random_control,13758,70,0.05,10513,58,0.46,9516,63,1.1,14388,64,0.33,15295,61,2.88,7931,65,301.43
