Benchmark,Category,Base_SIS_Nodes,Base_AIG_Nodes,Base_AIG_Lev,Alg_SIS_Nodes,Alg_AIG_Nodes,Alg_AIG_Lev,Alg_Time(s),Bool_SIS_Nodes,Bool_AIG_Nodes,Bool_AIG_Lev,Bool_Time(s),Rug_SIS_Nodes,Rug_AIG_Nodes,Rug_AIG_Lev,Rug_Time(s)
isqrt16.blif,arithmatic,4598,4598,32,1429,4234,32,3.49,TIMEOUT,TIMEOUT,TIMEOUT,1800.03,TIMEOUT,TIMEOUT,TIMEOUT,1800.03
isqrt8.blif,arithmatic,106,106,14,33,91,13,0.02,9,72,24,0.02,7,66,23,0.02
smul8.blif,arithmatic,88987,88987,65,TIMEOUT,TIMEOUT,TIMEOUT,1800.03,TIMEOUT,TIMEOUT,TIMEOUT,1800.11,TIMEOUT,TIMEOUT,TIMEOUT,1800.07
square12.blif,arithmatic,11078,11077,38,3468,10644,35,16.35,TIMEOUT,TIMEOUT,TIMEOUT,1800.03,TIMEOUT,TIMEOUT,TIMEOUT,1800.04
udiv5.blif,arithmatic,421,421,20,135,348,20,0.12,45,382,21,0.13,54,325,22,0.38
udiv8.blif,arithmatic,6217,6217,32,1907,5694,31,5.8,590,6300,38,305.97,TIMEOUT,TIMEOUT,TIMEOUT,1800.02
umul5.blif,arithmatic,1872,1872,23,639,1713,25,0.85,237,1873,29,2.92,TIMEOUT,TIMEOUT,TIMEOUT,1800.03
umul7.blif,arithmatic,30474,30474,46,8521,28722,47,143.86,TIMEOUT,TIMEOUT,TIMEOUT,1800.04,TIMEOUT,TIMEOUT,TIMEOUT,1800.11
umul8.blif,arithmatic,120875,120875,69,TIMEOUT,TIMEOUT,TIMEOUT,1800.06,TIMEOUT,TIMEOUT,TIMEOUT,1800.1,N/A,N/A,N/A,1068.37
usquare14.blif,arithmatic,43123,43122,67,12961,41302,60,360.36,TIMEOUT,TIMEOUT,TIMEOUT,1800.04,TIMEOUT,TIMEOUT,TIMEOUT,1800.06
arbiter.blif,random_control,11839,11839,87,3218,6275,35,18.01,1363,4944,64,49.18,1571,4738,64,39.14
cavlc.blif,random_control,693,693,16,282,720,19,0.3,98,776,25,0.82,104,751,19,1.18
ctrl.blif,random_control,175,174,10,65,126,10,0.03,35,101,20,0.04,36,102,22,0.05
dec.blif,random_control,304,304,3,304,304,3,0.05,304,304,3,0.09,304,304,3,0.11
i2c.blif,random_control,1343,1342,20,425,1060,18,0.32,265,1017,16,0.4,291,968,15,0.43
int2float.blif,random_control,260,260,16,80,223,16,0.04,28,214,18,0.06,33,198,19,0.16
mem_ctrl.blif,random_control,46876,46836,114,22671,49572,125,871.19,8664,48513,132,1083.68,N/A,N/A,N/A,296.51
priority.blif,random_control,978,978,250,528,990,266,0.22,303,888,186,0.15,313,583,153,1.09
router.blif,random_control,284,257,54,115,260,38,0.04,76,210,34,0.04,78,194,35,16.56
voter.blif,random_control,13758,13758,70,7016,12349,76,106.14,3218,10917,110,67.74,4404,11013,109,8.9
